"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"스킨&바디",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 317,,,,,2023-07-10
"머리마을미용실",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 198,,,,,2023-07-10
"들하담",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡9길 18-3,,,,,2023-07-10
"풍년식당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 4,,,,,2023-07-10
"멕시카나치킨",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 276,,,,,2023-07-10
"향기세상문화교육원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 70,,,,,2023-07-10
"우미떡방앗간",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 270,,,,,2023-07-10
"공감",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 57-7,,,,,2023-07-10
"병진이네농기계",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 19,,,,,2023-07-10
"드롭탑 전북고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 126,,,,,2023-07-10
"아까르마",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 26,,,,,2023-07-10
"경아헤어",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정6길 46,,,,,2023-07-10
"금호고창대리점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 고인돌대로 1863,,,,,2023-07-10
"영산강 홍어",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산2길 17,,,,,2023-07-10
"현대인빨래방",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 30,,,,,2023-07-10
"더나은펫샵",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산8길 39-10,,,,,2023-07-10
"고창왕갈비탕",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산6길 1,,,,,2023-07-10
"온디자인컴퍼니",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡로 83,,,,,2023-07-10
