"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"(유)농업회사법인 가림농산",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 경가천길 300,,제조업,,,2024-02-15
"참샘건강원",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 경가천길 359,,개인서비스업,,,2024-02-15
"정수횟집",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 구재길 14,,음식점업,,,2024-02-15
"호암가든",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 구재길 226,,음식점업,,,2024-02-15
"내모메는",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 구재길 23-105,,소매업,,063-262-8678,2024-02-15
"즐거운영농조합",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 구재길132-5,,기타,,063-261-1487,2024-02-15
"경천횟집",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 159,,음식점업,,063-261-8407,2024-02-15
"오복식당",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 217,,음식점업,,063-261-8197,2024-02-15
"정승댁",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 492,,음식점업,,,2024-02-15
"운주농협경천지점",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 499,,기타,,063-261-8904,2024-02-15
"경천추어탕",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 507-1,,음식점업,,,2024-02-15
"원용복마을영농조합",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 대둔산로 514,,기타,,063-262-1717,2024-02-15
"편백연 관광농원",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 시우동길 163-65,,음식점업,,063-263-7700,2024-02-15
"경천에서하루영농조합법인",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 오복대석길 26,,기타,,063-261-9900,2024-02-15
"경천애인영농조합법인",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 오복대석길 45,,기타,,063-263-5555,2024-02-15
"농업회사법인기고을식품",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 오복대석길 54-4,,제조업,,,2024-02-15
"참샘농장",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 경천면 요동길 53-1,,소매업,,,2024-02-15
"김밥천국",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 100,,음식점업,,063-261-5176,2024-02-15
"참맛나기름",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 100,,기타,,,2024-02-15
"꽃미용실",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 100,,개인서비스업,,,2024-02-15
"신용정육점",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 101-1,,개인서비스업,,063-263-4006,2024-02-15
"신용마트",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 101-1,,소매업,,063-263-4026,2024-02-15
"옷나라이불세상",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 102-1,,소매업,,,2024-02-15
"보물하우스",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 107,,개인서비스업,,,2024-02-15
"고산청과상회",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 108-1,,소매업,,063-263-4605,2024-02-15
"경춘농장 건강원",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 109,,개인서비스업,,,2024-02-15
"중앙찻집",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 109-1,,음식점업,,,2024-02-15
"형제기름집",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 110,,개인서비스업,,063-262-5616,2024-02-15
"현패션",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 110,,제조업,,,2024-02-15
"에덴미용실",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 111,,개인서비스업,,063-261-8318,2024-02-15
"복성원",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 113,,음식점업,,,2024-02-15
"오신농자재상사",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 114,,기타,,063-262-6003,2024-02-15
"옛날국수",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 115,,음식점업,,,2024-02-15
"고산복지매장",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 116-4,,개인서비스업,,063-262-4032,2024-02-15
"행복식자재마트",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 117-1,,소매업,,063-261-4066,2024-02-15
"신 태화루",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 118,,음식점업,,063-262-4012,2024-02-15
153컴퓨터.현수막,완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 118,,제조업,,063-263-1153,2024-02-15
"대한사료대리점",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 118,,기타,,,2024-02-15
"신태화루",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 118,,음식점업,,,2024-02-15
"만인식당",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 122,,음식점업,,,2024-02-15
"카페문",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 122-1,,음식업,,,2024-02-15
"고산왕돈까스",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 125,,음식점업,,,2024-02-15
"고산주유소",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 13,,개인서비스업,,063-262-8900,2024-02-15
GnB영어고산캠퍼스학원,완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 144,,교육서비스업,,063-263-4188,2024-02-15
"라벨피아노학원",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 144,,교육서비스업,,,2024-02-15
"스페인아오라",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 147-9,,소매업,,,2024-02-15
"동락가든",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 164,,음식점업,,063-263-4692,2024-02-15
"완주한우협동조합 고산미소육가공센터",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 25,,개인서비스업,,063-262-4221,2024-02-15
"형제농기계",완주사랑상품권,전북특별자치도,완주군,전북특별자치도 완주군 고산면 고산로 63,,제조업,,063-263-4053,2024-02-15
