가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
카페로더,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 문화로 87(수송동),,음식점업,,,2024-11-05
워시존,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 진포1길 3(수송동),,개인서비스업,,,2024-11-05
고기집깜밥,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 남수송4길 2-4(수송동),,음식점업,,,2024-11-05
동군산농업협동조합나포지점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 나포면 십자들로 626,,소매업,,,2024-11-05
마라공방,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송5길 10(수송동),,음식점업,,,2024-11-05
가나선물백화점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 중앙로 72,,소매업,,,2024-11-05
보현노인전문요양원,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 설림길 30(소룡동),,기타,,,2024-11-05
동행주유소,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 구암로 176(구암동),,소매업,,,2024-11-05
아이스크림샵마트 조촌점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 백릉로 38(조촌동),,소매업,,,2024-11-05
맛나식당,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 명산길 1(명산동),,음식점업,,,2024-11-05
영훈상회,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
주영꽃게장,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
서해건어물,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
안경상회,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 563(소룡동),,소매업,,,2024-11-05
인천상회,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
초밥대통령 수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송3길 19-1(수송동),,음식점업,,,2024-11-05
미앤지뷰티직업전문학원,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송5길 5(수송동),,개인서비스업,,,2024-11-05
라임스킨케어,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 경포천로 34(미장동, 군산미장휴먼시아)",,개인서비스업,,,2024-11-05
노랑통닭수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 축동로 39(수송동),,음식점업,,,2024-11-05
가나이불,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 신금길 18(신영동),,소매업,,,2024-11-05
아이퀸,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송로 218(수송동),,소매업,,,2024-11-05
그린타이어,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 조촌로 174 (조촌동),,소매업,,,2024-11-05
더 맛있는 옛날통닭,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 조촌안5길 35(경장동),,음식점업,,,2024-11-05
전북31바5281,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 구암3.1로 321(구암동),,개인서비스업,,,2024-11-05
재우상사,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 조촌안3길 14(조촌동. 도우빌딩1층),,소매업,,,2024-11-05
어썸팩토리 군산수송독서실,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 월명로 261(수송동),,교육서비스업,,,2024-11-05
알로애 꽃집,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 대야면 대야관통로 132,,소매업,,,2024-11-05
승리수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 삼학8길 63(삼학동),,소매업,,,2024-11-05
제자사랑학원,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 신설로 26(나운동),,교육서비스업,,,2024-11-05
일품대패,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 396(나운동),,음식점업,,,2024-11-05
하남돼지집 군산수송동점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송3길 5(수송동),,음식점업,,,2024-11-05
비엔날레,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 409,,개인서비스업,,,2024-11-05
최고카랜드,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 진포안1길 4(수송동),,개인서비스업,,,2024-11-05
시퀀스커피랩,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송8길 19-1(수송동),,음식점업,,,2024-11-05
광민수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
남도수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,개인서비스업,,,2024-11-05
고군산수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
충청도수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
양푼갈비 스토리,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포안2길 18(조촌동),,음식점업,,,2024-11-05
가락수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
숙희수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
동진강 민물장어,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 하나운안1길 25(나운동),,음식점업,,,2024-11-05
청년치킨 군산점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 백릉로 22(경장동),,음식점업,,,2024-11-05
크라운버거,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 대학로 549(미룡동),,음식점업,,,2024-11-05
프랭크버거 군산조촌점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포안2길 14(조촌동),,음식점업,,,2024-11-05
다다르다 군산나운센터,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 서수송1길 9(나운동),,개인서비스업,,,2024-11-05
빛깔고운다육향기농장,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 부골2길 26(조촌동),,소매업,,,2024-11-05
세븐일레븐 군산뉴제일점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송북로 7(수송동),,소매업,,,2024-11-05
GS25 지곡중앙점,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 계산로 78(지곡동, 해나지오아파트)",,소매업,,,2024-11-05
믿음약국,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 252(수송동),,소매업,,,2024-11-05
초원,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 신촌1길 38(조촌동),,음식점업,,,2024-11-05
우리집식당,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 소룡1길 18(소룡동),,음식점업,,,2024-11-05
길수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
원이내 수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
영자수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
고우당,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 구영6길 19(월명동),,음식점업,,,2024-11-05
간지 옷 수선,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 백릉로 174(조촌동),,소매업,,,2024-11-05
빵장수단팥빵기소담카페 조촌점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포안2길 27(조촌동),,음식점업,,,2024-11-05
대일수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
주쿠키,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 백릉안3길 12(조촌동),,음식점업,,,2024-11-05
라온리본,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 궁포2로 25(조촌동, e편한세상 디오션시티)",,소매업,,,2024-11-05
동일샤브,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송안11길 5(수송동),,음식점업,,,2024-11-05
남북로약국,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 250(수송동),,소매업,,,2024-11-05
캐리어시스템 군산점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 월명로 146(수송동),,소매업,,,2024-11-05
장보고,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 나운안2길 7(나운동),,음식점업,,,2024-11-05
다해수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
은성,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,음식점업,,,2024-11-05
삼겹cafe,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송안10길 13(수송동),,음식점업,,,2024-11-05
식도락가 수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 축동로 25(수송동),,음식점업,,,2024-11-05
피자헛 군산본점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 397(나운동),,음식점업,,,2024-11-05
경아수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
일번지 춘천닭갈비,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 서수면 항쟁로 207,,음식점업,,,2024-11-05
항도물물교환,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 월명로 416,,소매업,,,2024-11-05
금강식품,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송남로 8(수송동),,소매업,,,2024-11-05
빌리,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포안2길 20(조촌동),,소매업,,,2024-11-05
고주몽,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 하나운로 29(나운동),,음식점업,,,2024-11-05
전라도수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
이프네,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 축동안3길 20(수송동),,소매업,,,2024-11-05
돔베초밥 수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송남로 2(수송동),,음식점업,,,2024-11-05
거시기 초장집,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,음식점업,,,2024-11-05
싱싱수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
123활어 대박수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
엄마수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
지에스25 수송본점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 문화로 127(수송동),,소매업,,,2024-11-05
르블랑 에스테틱,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포안2길 27(조촌동),,개인서비스업,,,2024-11-05
먹고갈까 싸갈까,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송로 48(나운동),,음식점업,,,2024-11-05
수복젓상회,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 223(금동),,소매업,,,2024-11-05
RPM카세차장,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 개정면 번영로 836,,기타,,,2024-11-05
선우식당,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 공항로 250(산북동),,음식점업,,,2024-11-05
호성수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 216(금동),,소매업,,,2024-11-05
지에스25 군산교육청점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 신촌1길 38(조촌동),,소매업,,,2024-11-05
모그로드,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 모갱이1길 10(구암동),,음식점업,,,2024-11-05
소요,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송안6길 4(수송동),,음식점업,,,2024-11-05
명가김치찜,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 하신1길 22-1(나운동),,음식점업,,,2024-11-05
요리가 정다운집,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 조촌로 154(조촌동),,음식점업,,,2024-11-05
지곡세탁나라,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 지곡로 65(지곡동),,개인서비스업,,,2024-11-05
"피우다, 헤어",군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 미장안6길 18(미장동),,개인서비스업,,,2024-11-05
아이스비스킷 군산점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 축동안3길 28(수송동),,소매업,,,2024-11-05
구도로 통닭 군산수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송5길 6(수송동),,음식점업,,,2024-11-05
에이스영어,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 축동로 34(수송동, 군산수송동 제일오투그란데 2단지)",,교육서비스업,,,2024-11-05
전일맥주 지곡점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 지곡로 24(지곡동),,음식점업,,,2024-11-05
인생극장 군산수송점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송7길 2(수송동),,음식점업,,,2024-11-05
여수수산,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 대명2길 6(대명동),,소매업,,,2024-11-05
글로벌무역,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 수송로 71(나운동, 금호타운아파트)",,소매업,,,2024-11-05
도야정,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 동수송4길 12(수송동),,음식점업,,,2024-11-05
별미콩나물국밥,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 검다메2길 3(조촌동),,음식점업,,,2024-11-05
SNU 수학,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 미룡로 41(미룡동, 미룡(2) 주공아파트)",,교육서비스업,,,2024-11-05
더나은정육점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 서수송안2길 10(나운동),,소매업,,,2024-11-05
베스킨라빈스 군산조촌점,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 궁포1로 24-5(조촌동),,음식점업,,,2024-11-05
황금빛 떡방,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 나운안1길 17(나운동),,음식점업,,,2024-11-05
화이트크리닝(메트로점),군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 대명길 3(대명동, 현대메트로타워)",,개인서비스업,,,2024-11-05
일품대패,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 서수송1길 9(나운동),,음식점업,,,2024-11-05
상고앞분식,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 팔마로 10(문화동),,음식점업,,,2024-11-05
레인보우(Rainbow),군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 수송로 73(나운동),,개인서비스업,,,2024-11-05
장봐주는 언니,군산사랑상품권,전북특별자치도,군산시,"전북특별자치도 군산시 궁포1로 79(조촌동, 더샵디오션시티)",,소매업,,,2024-11-05
1992덮밥/짜글이,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 나운로 84(나운동),,음식점업,,,2024-11-05
골드카서비스,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 팔마로 180-1,,개인서비스업,,,2024-11-05
오뚜기체육사,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 팔마로 118(서흥남동),,소매업,,,2024-11-05
마임군산동부지사,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 경암로 6(경장동),,소매업,,,2024-11-05
버디스튜디오,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 나운로 77(나운동),,기타,,,2024-11-05
고바우네 나주곰탕,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 팔마로 61-1(문화동),,음식점업,,,2024-11-05
사진사랑현상소,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 하나운로 5(나운동),,개인서비스업,,,2024-11-05
디지스도그,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 미제1길 7(미룡동),,음식점업,,,2024-11-05
미미고,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 사옥로 77(내흥동),,음식점업,,,2024-11-05
만월청과,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 조촌로 168(조촌동),,소매업,,,2024-11-05
복공방,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 신금길 18(신영동),,소매업,,,2024-11-05
향토정,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 성산면 철새로 31,,음식점업,,,2024-11-05
반희뷰티,군산사랑상품권,전북특별자치도,군산시,전북특별자치도 군산시 축동로 33(수송동),,소매업,,,2024-11-05
