가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
비에이치씨 무주덕유산리조트점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 185 (무주리조트),,,,,2025-01-20
바다수산,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 칠연로 38 (7호),,,,,2025-01-20
조이분식,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한수로 29,,,,,2025-01-20
둥구나무,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 괴목로 528,,,,,2025-01-20
산마루가든,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 괴목로 333-11 (1층),,,,,2025-01-20
안성조명,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 286,,,,,2025-01-20
서울종합인테리어,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 294,,,,,2025-01-20
안성농기,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 칠연로 38,,,,,2025-01-20
칠육곱창,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 76,,,,,2025-01-20
설천한의원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1594,,,,,2025-01-20
혜미네 옷 수선,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 115-1,,,,,2025-01-20
명천사슴농장 건강원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 원통사로 343,,,,,2025-01-20
재철물점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 249,,,,,2025-01-20
세븐일레븐 무주적상점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 여용로 328,,,,,2025-01-20
에덴의료기,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 361 (1동 1층 2호),,,,,2025-01-20
무주시장(오옥분),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주무인모텔,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 사내로 49 (2층),,,,,2025-01-20
착한감자탕해장국,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 320 (1동 1층 3호),,,,,2025-01-20
농업회사법인 유한회사 선진,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 적상산로 66,,,,,2025-01-20
다사랑 STORY J점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 12,,,,,2025-01-20
비에이치씨(BHC) 무주읍점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 387-9,,,,,2025-01-20
서련학원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 291-1,,,,,2025-01-20
그린하우스,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 96,,,,,2025-01-20
오고파 미용실,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 117-1,,,,,2025-01-20
아유란농원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 덕유산로 518-53,,,,,2025-01-20
부여통닭 무주읍점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 5길 5,,,,,2025-01-20
큐사랑 염색전문점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 89-1,,,,,2025-01-20
명동김밥.포차.분식.집밥.도시락,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 109,,,,,2025-01-20
맛이최강이네,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 78-4,,,,,2025-01-20
선비꼬마김밥무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 8길 8-1 (1층),,,,,2025-01-20
허커,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 40,,,,,2025-01-20
구천동농협하나로마트본점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 삼도봉로 6,,,,,2025-01-20
