가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
미생맥주 부송점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로10길 82 미생맥주,,음식점/식음료업,,,2025-06-10
씨유원광대 스타점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로68길 75 1층,,식자재/유통,,,2025-06-10
(주)제이에스 헬스케어 원광대점,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로 913, 2층 (신동)",,보건/복지,,,2025-06-10
장터건어물,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로22길 43, 102동 1408호 (어양동,우미아파트)",,식자재/유통,,,2025-06-10
코리아셀프,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화로4길 14, 305동 505호 (장신리,장신휴먼시아3단지)",,기타,,,2025-06-10
팀(TEAM)PC방,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 부송로 66, 2층 (부송동,롯데리아익산부송점)",,문화/체육,,,2025-06-10
익산중부사랑,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 인북로 255-20, 2층 (남중동,신협)",,생활/리빙,,,2025-06-10
익산꽃집 꽃날,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로26길 8 1층 꽃날,,생활/리빙,,,2025-06-10
Umei,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 261-2 1층,,생활/리빙,,,2025-06-10
향기조경,익산다이로움카드,전북특별자치도,익산시,,전북특별자치도 익산시 석왕동 산96,생활/리빙,,,2025-06-10
보라보라케이스,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로1길 16 보라보라케이스,,의류/잡화,,,2025-06-10
꾸닥꾸닥(본점),익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로11길 24-2 1층,,음식점/식음료업,,,2025-06-10
금성칡 냉면,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로15길 18-2 (영등동),,음식점/식음료업,,,2025-06-10
이음장터,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화1로 76 상가동 110호(마동,익산자이그랜드파크)",,식자재/유통,,,2025-06-10
신용LPG충전소,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로 610 (신용동),,자동차/주유,,,2025-06-10
오케이할인마트,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로16길 5 (영등동),,식자재/유통,,,2025-06-10
싱크케어,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 오산면 군익로2길 26-17 1층,,가전/통신,,,2025-06-10
(주) 두연테크,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 동천로13길 51, 101호 (금강동)",,식자재/유통,,,2025-06-10
꽃부,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 금마길 59 (동고도리),,생활/리빙,,,2025-06-10
비에이치씨치킨용안점 고향면옥,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 현내로 445 (중신리),,음식점/식음료업,,,2025-06-10
하수구수리센타,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 함열읍 와리길 7-12 1층,,의류/잡화,,,2025-06-10
숲골우유익산,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 서동로30길 8-2 (마동),,식자재/유통,,,2025-06-10
남성스토어,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로35길 41 남성여자고등학교 교내,,식자재/유통,,,2025-06-10
일품대패,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 서동로 98-1 1층,,음식점/식음료업,,,2025-06-10
W모텔,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로52길 45 (남중동),,여행/숙박,,,2025-06-10
윤선생우리집앞부송제일영어교습소,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로10길 98 2층,,기술/기능 교육,,,2025-06-10
풍미식당,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 평동로 305 (오산리),,음식점/식음료업,,,2025-06-10
(주)천성정보통신,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 서동로4길 30 (동산동),,가전/통신,,,2025-06-10
경화루,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 함안로 386 (신대리),,음식점/식음료업,,,2025-06-10
원쿼트러플,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로51길 33 1층,,음식점/식음료업,,,2025-06-10
