가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
구구식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(한식),음식,,2025-01-28
농산표고,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(농산물),농산물,,2025-01-28
대광천막,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,"도·소매임대(천막제작,잡화,천막대여)","천막,잡화",,2025-01-28
뚝배기,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(한식),음식,,2025-01-28
목화이불집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(침구),침구,,2025-01-28
무궁화 대진 옷집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,"소매업(의류,이불)","의류,침구",,2025-01-28
무진장 옷수선,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,서비스업(의류수선),의류수선,,2025-01-28
미래유통,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,"소매(외의,문구,운동용품)",의류,,2025-01-28
미래축산,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(식육),정육,,2025-01-28
미영유통,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,"소매(건어물,식품잡화)",건어물,,2025-01-28
시장153민물고기,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,도매 및 소매업(민물고기 소매업),"민물고기,생선",,2025-01-28
시장건강원,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(추출가공식품),건강원,,2025-01-28
시장반찬,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,제조업(반찬),반찬,,2025-01-28
아름다운피부,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,서비스(피부관리),피부관리,,2025-01-28
영진마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(슈퍼),슈퍼,,2025-01-28
영철상회,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(건어물),건어물,063-433-3843,2025-01-28
운성상회,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(의류),의류,,2025-01-28
자연닭집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(식육),정육,,2025-01-28
진안순두부,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식점(한식),음식,,2025-01-28
진안장터,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(한식),음식,,2025-01-28
크린하우스 진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,서비스(세탁중개),세탁,,2025-01-28
흑돼지 장한식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식점(한식),음식,,2025-01-28
대구집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(한식),음식,,2025-01-28
보영상회,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(의류),의류,,2025-01-28
봉창이 해물칼국수,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(분식),음식,,2025-01-28
